序号,案件类型,证据1,证据2,证据3
410,敲诈勒索,勒索短信恐吓,微信付款凭证,恐吓信件物证
411,文物走私,古墓盗掘现场,挖掘工具扣押,文物年代鉴定
412,文物走私,走私运输路线,海关检查记录,文物价值评估
413,文物走私,黑市交易网络,中间人证词,交易价格记录
414,文物走私,海外拍卖记录,来源证明伪造,文物返还请求
415,文物走私,保护单位失职,监控设备损坏,巡逻记录缺失
416,文物走私,洛阳铲盗墓工具,盗洞挖掘现场,文物黑市交易
417,文物走私,海外拍卖记录,来源证明伪造,文物返还请求
418,文物走私,保护单位失职,监控设备损坏,巡逻记录缺失
419,文物走私,黑市交易网络,中间人证词,交易价格记录
420,文物走私,保护单位失职,监控设备损坏,巡逻记录缺失
421,校园霸凌,受害者伤情鉴定,医疗记录收集,心理评估报告
422,校园霸凌,网络欺凌证据,侮辱性言论,精神损害赔偿
423,校园霸凌,长期跟踪记录,行为模式分析,前科处理记录
424,校园霸凌,目击者证词,监控录像分析,学校管理失职
425,校园霸凌,暴力视频传播,社交媒体证据,参与人员身份
426,校园霸凌,霸凌录像传播,棍子暴力袭击,空教室围堵殴打
427,校园霸凌,目击者证词,监控录像分析,学校管理失职
428,校园霸凌,暴力视频传播,社交媒体证据,参与人员身份
429,校园霸凌,长期跟踪记录,行为模式分析,前科处理记录
430,校园霸凌,暴力视频传播,社交媒体证据,参与人员身份
431,洗钱,空壳公司调查,业务模式分析,资金转移记录
432,洗钱,交易记录分析,账户异常变动,清洗路径追踪
433,洗钱,跨境洗钱证据,国际合作调查,司法协助请求
434,洗钱,上游犯罪赃款来源,空壳公司走账,虚拟货币交易记录
435,洗钱,资金来源调查,上游犯罪关联,赃款性质确认
436,洗钱,法律责任认定,处罚决定执行,资产追缴记录
437,洗钱,上游犯罪赃款来源,空壳公司走账,虚拟货币交易记录
438,洗钱,资金来源调查,上游犯罪关联,赃款性质确认
439,洗钱,跨境洗钱证据,国际合作调查,司法协助请求
440,洗钱,资金来源调查,上游犯罪关联,赃款性质确认
441,滥用职权,公共财产损失,审计报告证据,赔偿责任确定
442,滥用职权,违规审批文件,利益输送转账,公共财产损失审计
443,滥用职权,违规审批文件,权限范围调查,利益关联分析
444,滥用职权,决策程序违法,会议记录伪造,责任人员认定
445,滥用职权,监管失职证据,举报处理不当,后果扩大化
446,滥用职权,内部监督缺失,制度执行不力,责任追究记录
447,滥用职权,决策程序违法,会议记录伪造,责任人员认定
448,滥用职权,监管失职证据,举报处理不当,后果扩大化
449,滥用职权,违规审批文件,权限范围调查,利益关联分析
450,滥用职权,监管失职证据,举报处理不当,后果扩大化
451,猥亵儿童,受害儿童陈述,生物样本DNA,监控录像记录
452,猥亵儿童,受害者证词,时间地点确认,伤害程度鉴定
453,猥亵儿童,物证收集分析,生物样本检测,身份识别证据
454,猥亵儿童,监控录像调查,周围环境分析,作案过程还原
455,猥亵儿童,心理评估报告,行为模式分析,前科记录查询
456,猥亵儿童,法律责任认定,处罚决定执行,教育改造记录
457,猥亵儿童,监控录像调查,周围环境分析,作案过程还原
458,猥亵儿童,心理评估报告,行为模式分析,前科记录查询
459,猥亵儿童,物证收集分析,生物样本检测,身份识别证据
460,猥亵儿童,心理评估报告,行为模式分析,前科记录查询
461,盗窃,监控录像记录撬锁盗窃,现场发现专用撬棍工具,被盗物品上提取的指纹
462,盗窃,撬锁工具指纹匹配,被盗现金痕迹,作案时间监控
463,盗窃,技术开锁工具,赃物藏匿地点,目击证人证言
464,盗窃,攀爬痕迹检测,被盗物品追踪,犯罪现场勘查
465,盗窃,团伙作案分工,交通工具追踪,通讯记录分析
466,盗窃,密码破解工具,电子设备盗窃,销赃渠道记录
467,盗窃,攀爬痕迹检测,被盗物品追踪,犯罪现场勘查
468,盗窃,团伙作案分工,交通工具追踪,通讯记录分析
469,盗窃,技术开锁工具,赃物藏匿地点,目击证人证言
470,盗窃,团伙作案分工,交通工具追踪,通讯记录分析
471,诈骗,虚假投资平台,高额回报承诺,受害者转账记录
472,诈骗,假冒身份诈骗,社交工程攻击,伪造证件使用
473,诈骗,网络钓鱼邮件,恶意链接点击,账户信息盗取
474,诈骗,冒充公检法,安全账户诈骗,恐吓威胁话术
475,诈骗,加密聊天交易虚假商品,多张神秘银行卡洗钱,虚假身份信息注册账户
476,诈骗,虚假投资平台,诱导转账充值,内幕消息炒作
477,诈骗,屏幕共享功能,骗取验证码,冒充电商客服
478,诈骗,两卡买卖,帮信行为,跑分洗钱
479,诈骗,平台监管失职,卖家身份核实,处罚记录查询
480,诈骗,支付渠道调查,资金跨境转移,洗钱路径分析
481,环境犯罪,工业废水排放,排放口监测数据,污染损害评估
482,环境犯罪,危险废物倾倒,废物处理记录,环境影响报告
483,环境犯罪,大气污染排放,空气质量监测,健康危害分析
484,环境犯罪,噪声污染超标,噪声分贝测试,居民投诉记录
485,环境犯罪,土壤污染检测,土壤采样分析,修复费用测算
486,环境犯罪,海洋环境污染,海水污染指标,渔业资源损失
487,环境犯罪,放射性物质泄漏,辐射剂量检测,辐射防护措施
488,环境犯罪,固体废物非法处置,垃圾填埋场勘查,环境污染治理
489,环境犯罪,化学品泄漏事故,化学品运输记录,应急处置记录
490,环境犯罪,生态破坏行为,植被破坏现场,生态恢复方案
491,知识产权犯罪,假冒注册商标,商标注册证书,侵权商品扣押
492,知识产权犯罪,侵犯专利权,专利授权文件,损失评估报告
493,知识产权犯罪,侵犯著作权,著作权登记证,市场份额影响
494,知识产权犯罪,商业秘密窃取,保密协议文本,法律责任认定
495,知识产权犯罪,软件盗版复制,软件著作权,软件代码比对
496,知识产权犯罪,商标侵权商品,商品鉴定报告,销售记录查询
497,知识产权犯罪,专利技术盗用,技术对比分析,技术来源追踪
498,知识产权犯罪,影视盗版传播,盗版光盘扣押,传播范围调查
499,知识产权犯罪,商业秘密泄露,泄密渠道调查,保密措施审查
500,知识产权犯罪,网络游戏盗版,游戏版权证明,侵权获利统计
